,Tanggal,Jam,DateTime,Coordinates,Lintang,Bujur,Magnitude,Kedalaman,Wilayah,Dirasakan
0,26 Mar 2024,00:36:36 WIB,2024-03-25T17:36:36+00:00,"0.83,125.40",0.83 LU,125.40 BT,4.8,40 km,Pusat gempa berada di laut 71 km Tenggara Ratahan,"II-III Bitung, II Manado, II Tondano"
1,25 Mar 2024,20:54:19 WIB,2024-03-25T13:54:19+00:00,"-5.66,112.41",5.66 LS,112.41 BT,4.0,10 km,Pusat gempa berada dilaut 143 km Timur Laut Tuban,II-III Bawean
2,25 Mar 2024,20:40:50 WIB,2024-03-25T13:40:50+00:00,"-5.47,105.24",5.47 LS,105.24 BT,2.0,3 km,Pusat gempa berada di darat 3 Km BaratDaya Bandar Lampung,II Teluk Betung
3,25 Mar 2024,20:21:38 WIB,2024-03-25T13:21:38+00:00,"-4.64,120.38",4.64 LS,120.38 BT,3.6,7 km,Pusat gempa berada di darat 36 km Timur Laut Bone,"III Watampone, III Mare, III Sibulue"
4,25 Mar 2024,19:37:05 WIB,2024-03-25T12:37:05+00:00,"-1.58,120.21",1.58 LS,120.21 BT,4.4,10 km,Pusat gempa berada di darat 17 km Utara Doda,"III Lore Utara, III Lore Peore, II-III Kulawi"
5,25 Mar 2024,18:54:24 WIB,2024-03-25T11:54:24+00:00,"1.14,113.00",1.14 LU,113.00 BT,4.3,10 km,Pusat gempa berada di darat 34 km Barat Laut Kapuas Hulu,"III Kapuas Hulu, III Putusibau"
6,25 Mar 2024,02:55:07 WIB,2024-03-24T19:55:07+00:00,"4.10,96.88",4.10 LU,96.88 BT,4.1,3 km,Pusat gempa berada di darat 30 km BaratLaut Blangpidie-Aceh Barat Daya,II-III Gayo Lues
7,25 Mar 2024,02:49:06 WIB,2024-03-24T19:49:06+00:00,"4.26,96.86",4.26 LU,96.86 BT,4.9,4 km,Pusat gempa berada di darat 40 km Tenggara Takengon-Aceh Tengah,II-III Gayo Lues
8,24 Mar 2024,22:34:06 WIB,2024-03-24T15:34:06+00:00,"-7.84,108.62",7.84 LS,108.62 BT,4.7,80 km,Pusat gempa berada di laut 20 km Tenggara Kabupaten Pangandaran,"III Pangandaran, II-III Tasikmalaya, II-III Cilacap, II Banyumas"
9,24 Mar 2024,20:19:01 WIB,2024-03-24T13:19:01+00:00,"-8.22,115.61",8.22 LS,115.61 BT,3.5,10 km,Pusat gempa berada di laut 17 km TimurLaut Karangasem,II Karangasem
10,24 Mar 2024,18:53:55 WIB,2024-03-24T11:53:55+00:00,"-1.53,133.36",1.53 LS,133.36 BT,5.0,27 km,Pusat gempa berada di darat 65 km Barat Laut Teluk Bintuni,"II-III Manokwari Selatan, II Manokwari"
11,24 Mar 2024,10:04:10 WIB,2024-03-24T03:04:10+00:00,"-9.64,122.16",9.64 LS,122.16 BT,6.1,47 km,Pusat gempa berada di laut 104 km Tenggara Ende,"IV Ende, III-IV Larantuka , II-III Sabu, III-IV Waingapu, II Bima, III Bajawa, III Maumere"
12,24 Mar 2024,06:47:13 WIB,2024-03-23T23:47:13+00:00,"-0.24,123.04",0.24 LS,123.04 BT,4.9,101 km,Pusat gempa berada di laut 87 km Barat Daya Bone Bolango,"II-III Gorontalo, III Bone Bolango, II-III Kota Gorontalo"
13,24 Mar 2024,06:14:58 WIB,2024-03-23T23:14:58+00:00,"-5.80,112.34",5.80 LS,112.34 BT,4.5,2 km,Pusat gempa berada di laut 126 km Timur Laut Tuban,III-IV Bawean
14,24 Mar 2024,03:22:07 WIB,2024-03-23T20:22:07+00:00,"-4.25,143.07",4.25 LS,143.07 BT,6.8,63 km,Pusat gempa berada di darat 275 km Tenggara Keerom,"III Jayapura, II Wamena, II Merauke, III Keerom, II Nabire"
